"gid,N,10,0","ev_id,C,6","iso3year,C,7","iso3,C,3","id_nat,C,10","id_cat,C,20","year,N,5,0","start_date,N,10,0","end_date,N,10,0","duration,N,5,0","ss_cat,N,5,0","sum_ws_km,N,10,0","sum_pdi,N,10,0","sum_pdr,N,10,0","popurb_07,N,24,15","poprur_07,N,24,15","poptot_07,N,24,15","gdptot_07,N,24,15","other_name,C,25","serial_num,C,15"
1,tc3962,FJI2013,FJI,tc39622013,,2013,20121216,20121217,48,0,3024,479960,308485,154919,92576,247495,60988426,EVAN,2012346S14180
2,tc3962,WLF2013,WLF,tc39622013,,2013,20121215,20121216,12,0,756,119990,62920,0,0,0,0,EVAN,2012346S14180
6,tc3969,AUS2013,AUS,tc39692013,,2013,20130118,20130123,93,0,5859,929916,21193,0,1371,1371,3095469,OSWALD,2013018S14138
7,tc3970,COK2013,COK,tc39702013,,2013,20130126,20130126,6,0,378,59995,7003,0,841,841,659353,GARRY,2013019S12174
13,tc3977,AUS2013,AUS,tc39772013,,2013,20130225,20130228,90,0,5670,899914,767347,0,21410,21410,43430732,RUSTY,2013052S13126
14,tc3979,NCL2013,NCL,tc39792013,,2013,20130311,20130312,12,0,756,119990,100997,0,12135,12135,16953280,SANDRA,2013065S18151
15,tc3980,AUS2013,AUS,tc39802013,,2013,20130312,20130312,3,0,189,29997,570,0,3,3,6699,TIM,2013069S13135
16,tc3981,MUS2013,MUS,tc39812013,,2013,20130414,20130414,6,0,378,59995,20912,0,0,0,0,IMELDA,2013093S08074
17,tc3985,BGD2013,BGD,tc39852013,,2013,20130516,20130516,9,0,567,89991,3096,48899,1230161,1279060,60747717,MAHASEN:VIYARU,2013130N04093
18,tc3985,IND2013,IND,tc39852013,,2013,20130516,20130516,9,0,567,89991,2313,510,175158,175668,9762938,MAHASEN:VIYARU,2013130N04093
19,tc3987,MEX2013,MEX,tc39872013,,2013,20130529,20130530,12,0,756,119989,5055,36343,47871,84214,20119230,BARBARA,2013149N14264
20,tc3988,IND2013,IND,tc39882013,,2013,20130529,20130531,48,0,3024,479956,16063,1790366,4494967,6285333,344023632,NOT NAMED,2013149N21089
21,tc3989,USA2013,USA,tc39892013,,2013,20130606,20130608,36,0,2268,359969,9659,1254349,208805,1463154,5276298496,ANDREA,2013157N25273
24,tc3993,VNM2013,VNM,tc39932013,,2013,20130623,20130624,24,0,1512,239980,2568,9472,462114,471586,18255223,BEBINCA,2013171N15117
3,tc3962,WSM2013,WSM,tc39622013,,2013,20121212,20121214,42,0,2646,419965,176320,61288,86333,147621,24662848,EVAN,2012346S14180
4,tc3963,SLB2013,SLB,tc39632013,,2013,20121228,20121228,6,0,378,59995,1748,0,757,757,92678,FREDA,2012362S08165
5,tc3966,PHL2013,PHL,tc39662013,,2013,20130103,20130103,6,0,378,59995,116,0,6037,6037,309227,SONAMU,2013001N04141
8,tc3971,AUS2013,AUS,tc39712013,,2013,20130123,20130123,6,0,378,59994,2873,0,7,7,20427,PETA,2013020S17123
9,tc3972,MDG2013,MDG,tc39722013,,2013,20130130,20130201,48,0,3024,479960,444951,350633,1827475,2178108,51565795,FELLENG,2013026S13067
10,tc3972,ZZR2013,ZZR,tc39722013,,2013,20130130,20130130,6,0,378,59995,65296,0,0,0,0,FELLENG,2013026S13067
11,tc3975,MDG2013,MDG,tc39752013,,2013,20130222,20130223,36,0,2268,359970,101972,93807,1262944,1356751,28081296,HARUNA,2013046S20042
12,tc3975,ZZE2013,ZZE,tc39752013,,2013,20130220,20130220,6,0,378,59995,45002,0,0,0,0,HARUNA,2013046S20042
22,tc3992,JPN2013,JPN,tc39922013,,2013,20130619,20130621,12,0,756,119989,2318,636181,69330,705511,2376629760,LEEPI,2013167N12128
23,tc3993,CHN2013,CHN,tc39932013,,2013,20130622,20130622,18,0,1134,179985,6288,276564,411354,687918,88601896,BEBINCA,2013171N15117
25,tc3995,CHN2013,CHN,tc39952013,,2013,20130701,20130702,24,0,1512,239980,7214,401358,1323671,1725029,255365008,RUMBIA,2013178N09133
26,tc3995,PHL2013,PHL,tc39952013,,2013,20130628,20130629,30,0,1890,299975,976,165955,209725,375680,27745511,RUMBIA,2013178N09133
27,tc3998,CHN2013,CHN,tc39982013,,2013,20130713,20130714,33,0,2079,329972,63358,8107367,9111346,17218713,3348037888,SOULIK,2013187N20156
28,tc3998,JPN2013,JPN,tc39982013,,2013,20130711,20130712,18,0,1134,179983,192598,47454,1081,48535,101790458,SOULIK,2013187N20156
29,tc3998,TWN2013,TWN,tc39982013,,2013,20130712,20130713,15,0,945,149985,129074,8524727,649527,9174254,16018204160,SOULIK,2013187N20156
30,tc3998,ZZP2013,ZZP,tc39982013,,2013,20130712,20130712,3,0,189,29997,31846,0,0,0,0,SOULIK,2013187N20156
31,tc4000,PHL2013,PHL,tc40002013,,2013,20130717,20130717,6,0,378,59995,68,0,35,35,1484,CIMARON,2013196N14128
37,tc4008,CHN2013,CHN,tc40082013,,2013,20130813,20130817,78,0,4914,779935,204224,23609080,16832230,40441310,10473344512,UTOR,2013220N12137
38,tc4008,HKG2013,HKG,tc40082013,,2013,20130814,20130814,6,0,378,59995,49445,6711057,222283,6933340,21982602688,UTOR,2013220N12137
39,tc4008,MAC2013,MAC,tc40082013,,2013,20130814,20130814,6,0,378,59995,49445,240842,50227,291069,1028802944,UTOR,2013220N12137
40,tc4008,PHL2013,PHL,tc40082013,,2013,20130810,20130812,36,0,2268,359970,400461,24816342,17031652,41847994,4336155200,UTOR,2013220N12137
41,tc4013,CHN2013,CHN,tc40132013,,2013,20130821,20130824,66,0,4158,659945,102871,11607283,17737954,29345237,4641735424,TRAMI,2013228N23124
42,tc4013,JPN2013,JPN,tc40132013,,2013,20130820,20130821,12,0,756,119988,49715,80773,7205,87978,198285698,TRAMI,2013228N23124
97,tc4054,ZZO2013,ZZO,tc40542013,,2013,20131108,20131108,6,0,378,59995,80983,0,0,0,0,HAIYAN,2013306N07162
101,tc4058,IND2013,IND,tc40582013,,2013,20131122,20131122,12,0,756,119988,3931,28690,81081,109771,6514765,HELEN,2013322N13090
32,tc4003,CHN2013,CHN,tc40032013,,2013,20130802,20130802,6,0,378,59995,3410,988369,492799,1481168,241273128,JEBI,2013210N13122
33,tc4003,VNM2013,VNM,tc40032013,,2013,20130803,20130803,12,0,756,119990,4279,566,535789,536355,7647176,JEBI,2013210N13122
58,tc4030,TWN2013,TWN,tc40302013,,2013,20130921,20130921,24,0,1512,239980,320047,9513105,683532,10196637,17824440320,USAGI,2013259N17132
59,tc4032,JPN2013,JPN,tc40322013,,2013,20130923,20130925,18,0,1134,179985,57453,0,152,152,526088,PABUK,2013262N14149
115,tc4081,ZZB2014,ZZB,tc40812014,,2014,20140219,20140219,6,0,378,59995,3844,0,0,0,0,GUITO,2014048S16039
34,tc4005,IND2013,IND,tc40052013,,2013,20130730,20130731,33,0,2079,329971,10974,847397,3362740,4210137,201109196,NOT NAMED,2013211N22088
72,tc4041,LAO2013,LAO,tc40412013,,2013,20131015,20131015,18,0,1134,179985,13957,464,87414,87878,4244511,NARI,2013282N14132
73,tc4041,PHL2013,PHL,tc40412013,,2013,20131011,20131011,18,0,1134,179985,55916,4839054,6426255,11265309,985178880,NARI,2013282N14132
74,tc4041,THA2013,THA,tc40412013,,2013,20131015,20131015,12,0,756,119990,1555,0,59159,59159,3654249,NARI,2013282N14132
5772,tc2127,CPT1992,CPT,tc21271992,,1992,19921014,19921014,1,0,63,59995,0,0,0,0,0,XAVIER,1992288N10253
35,tc4007,LAO2013,LAO,tc40072013,,2013,20130807,20130807,6,0,378,59995,638,0,2921,2921,74219,MANGKHUT,2013217N11118
36,tc4007,VNM2013,VNM,tc40072013,,2013,20130807,20130807,12,0,756,119990,1865,0,381882,381882,19764040,MANGKHUT,2013217N11118
43,tc4013,TWN2013,TWN,tc40132013,,2013,20130821,20130821,9,0,567,89992,37463,9122517,14891,9137408,17064325804,TRAMI,2013228N23124
44,tc4013,ZZP2013,ZZP,tc40132013,,2013,20130821,20130821,3,0,189,29997,12658,0,0,0,0,TRAMI,2013228N23124
76,tc4041,ZZN2013,ZZN,tc40412013,,2013,20131013,20131014,12,0,756,119990,55869,0,0,0,0,NARI,2013282N14132
77,tc4041,ZZO2013,ZZO,tc40412013,,2013,20131012,20131012,6,0,378,59995,19966,0,0,0,0,NARI,2013282N14132
116,tc4082,FJI2014,FJI,tc40822014,,2014,20140227,20140228,12,0,756,119990,1343,0,1229,1229,236865,KOFI,2014056S18175
117,tc4085,TLS2014,TLS,tc40852014,,2014,20140318,20140318,6,0,378,59995,39,0,0,0,0,GILLIAN,2014065S10139
118,tc4086,NZL2014,NZL,tc40862014,,2014,20140314,20140316,18,0,1134,179985,27896,91225,32863,124088,166141872,LUSI,2014068S16169
45,tc4015,IND2013,IND,tc40152013,,2013,20130820,20130822,66,0,4158,659941,24496,1601729,5223407,6825136,338881824,NOT NAMED,2013232N22088
46,tc4018,MEX2013,MEX,tc40182013,,2013,20130826,20130826,6,0,378,59994,490,4014,18046,22060,6433735,FERNAND,2013238N19266
81,tc4043,MEX2013,MEX,tc40432013,,2013,20131015,20131015,12,0,756,119989,917,0,604,604,534914,OCTAVE,2013286N15251
47,tc4019,MEX2013,MEX,tc40192013,,2013,20130829,20130829,15,0,945,149987,3270,663,733,1396,1209293,JULIETTE,2013241N19254
82,tc4045,JPN2013,JPN,tc40452013,,2013,20131023,20131025,33,0,2079,329968,310103,1106132,53162,1159294,2957557224,FRANCISCO,2013289N14149
83,tc4045,MNP2013,MNP,tc40452013,,2013,20131018,20131018,6,0,378,59995,77959,0,0,0,0,FRANCISCO,2013289N14149
48,tc4022,JPN2013,JPN,tc40222013,,2013,20130903,20130904,12,0,756,119988,3119,574632,84566,659198,2256751088,TORAJI,2013243N26122
49,tc4027,JPN2013,JPN,tc40272013,,2013,20130915,20130916,15,0,945,149985,49701,40816276,1492415,42308691,185072727552,MAN-YI,2013255N20148
50,tc4027,RUS2013,RUS,tc40272013,,2013,20130916,20130919,72,0,4536,719940,180578,2003,27830,29833,8500649,MAN-YI,2013255N20148
51,tc4028,MEX2013,MEX,tc40282013,,2013,20130916,20130916,12,0,756,119989,2999,55312,10909,66221,50566711,INGRID,2013255N19268
52,tc4029,MEX2013,MEX,tc40292013,,2013,20130915,20130919,30,0,1890,299975,13281,127739,94808,222547,106093296,MANUEL,2013257N15259
53,tc4030,CHN2013,CHN,tc40302013,,2013,20130922,20130923,42,0,2646,419965,245980,44856792,20750560,65607352,18423440128,USAGI,2013259N17132
54,tc4030,HKG2013,HKG,tc40302013,,2013,20130922,20130922,6,0,378,59995,54420,6005349,172842,6178191,20124289280,USAGI,2013259N17132
98,tc4054,ZZQ2013,ZZQ,tc40542013,,2013,20131109,20131109,6,0,378,59995,82093,0,0,0,0,HAIYAN,2013306N07162
55,tc4030,JPN2013,JPN,tc40302013,,2013,20130920,20130920,12,0,756,119990,185804,33843,5606,39449,92493205,USAGI,2013259N17132
56,tc4030,MAC2013,MAC,tc40302013,,2013,20130922,20130922,6,0,378,59995,25210,178533,30356,208889,749863072,USAGI,2013259N17132
57,tc4030,PHL2013,PHL,tc40302013,,2013,20130920,20130921,18,0,1134,179985,271655,756716,4533133,5289849,793977216,USAGI,2013259N17132
60,tc4033,CHN2013,CHN,tc40332013,,2013,20130929,20130930,12,0,756,119990,53589,344337,327839,672176,98728796,WUTIP,2013269N15118
61,tc4033,LAO2013,LAO,tc40332013,,2013,20130930,20130930,18,0,1134,179985,40617,277607,524032,801639,45330214,WUTIP,2013269N15118
90,tc4054,FSM2013,FSM,tc40542013,,2013,20131105,20131106,18,0,1134,179985,243779,0,11,11,0,HAIYAN,2013306N07162
8969,tc4135,,,tc41352014,,2014,20140917,20140918,24,1,2808,1537120,4455,0,0,0,0,POLO,2014259N11262
62,tc4033,THA2013,THA,tc40332013,,2013,20130930,20130930,12,0,756,119990,17638,28719,832109,860828,53117128,WUTIP,2013269N15118
63,tc4033,VNM2013,VNM,tc40332013,,2013,20130930,20130930,18,0,1134,179985,63094,810418,4119488,4929906,119124484,WUTIP,2013269N15118
64,tc4033,ZZN2013,ZZN,tc40332013,,2013,20130928,20130929,18,0,1134,179985,70540,0,0,0,0,WUTIP,2013269N15118
65,tc4035,CHN2013,CHN,tc40352013,,2013,20131006,20131007,18,0,1134,179985,37303,4803160,3658289,8461449,2454936768,FITOW,2013272N10135
66,tc4035,JPN2013,JPN,tc40352013,,2013,20131005,20131005,18,0,1134,179982,88999,95995,6974,102969,227925809,FITOW,2013272N10135
67,tc4035,ZZP2013,ZZP,tc40352013,,2013,20131006,20131006,3,0,189,29997,13759,0,0,0,0,FITOW,2013272N10135
68,tc4036,RUS2013,RUS,tc40362013,,2013,20131003,20131003,18,0,1134,179985,5333,0,972,972,287812,SEPAT,2013272N26152
69,tc4037,JPN2013,JPN,tc40372013,,2013,20131006,20131008,51,0,3213,509950,341307,7498512,1002541,8501053,29036463360,DANAS,2013274N18152
99,tc4056,PHL2013,PHL,tc40562013,,2013,20131112,20131113,18,0,1134,179985,502,0,86020,86020,6527126,PODUL,2013316N06130
100,tc4056,VNM2013,VNM,tc40562013,,2013,20131114,20131114,6,0,378,59995,48,0,4341,4341,34832,PODUL,2013316N06130
70,tc4037,KOR2013,KOR,tc40372013,,2013,20131008,20131008,6,0,378,59994,29876,456921,775,457696,707989943,DANAS,2013274N18152
91,tc4054,IDN2013,IDN,tc40542013,,2013,20131107,20131107,6,0,378,59995,136610,0,28707,28707,1460567,HAIYAN,2013306N07162
92,tc4054,LAO2013,LAO,tc40542013,,2013,20131110,20131110,6,0,378,59995,60631,0,394,394,20520,HAIYAN,2013306N07162
93,tc4054,PHL2013,PHL,tc40542013,,2013,20131107,20131108,36,0,2268,359970,627153,29341836,26515656,55857492,6600576512,HAIYAN,2013306N07162
94,tc4054,PLW2013,PLW,tc40542013,,2013,20131106,20131106,12,0,756,119990,261166,0,0,0,0,HAIYAN,2013306N07162
95,tc4054,VNM2013,VNM,tc40542013,,2013,20131109,20131111,36,0,2268,359970,254849,3267014,11823478,15090492,420588128,HAIYAN,2013306N07162
71,tc4040,IND2013,IND,tc40402013,,2013,20131009,20131013,39,0,2457,389962,134131,6692836,16423656,23116492,1288459424,PHAILIN,2013281N12098
6043,tc2207,HND1993,HND,tc22071993,,1993,19930917,19930917,3,0,189,179985,3,74237,76380,150617,157218616,GERT,1993258N11279
75,tc4041,VNM2013,VNM,tc40412013,,2013,20131014,20131015,18,0,1134,179985,29837,691603,2564170,3255773,68976312,NARI,2013282N14132
8970,tc4136,,,tc41362014,,2014,20140921,20140921,12,1,1404,768560,248,0,0,0,0,FUNG-WONG,2014260N13135
78,tc4042,JPN2013,JPN,tc40422013,,2013,20131014,20131015,21,0,1323,209981,178018,14419,8166,22585,85667614,WIPHA,2013282N14149
85,tc4047,MNP2013,MNP,tc40472013,,2013,20131023,20131024,18,0,1134,179985,285092,0,0,0,0,LEKIMA,2013292N09162
79,tc4042,RUS2013,RUS,tc40422013,,2013,20131016,20131017,12,0,756,119990,67943,0,1914,1914,526280,WIPHA,2013282N14149
86,tc4048,MEX2013,MEX,tc40482013,,2013,20131021,20131022,12,0,756,119990,130235,38425,3460,41885,11742518,RAYMOND,2013293N13260
87,tc4051,PHL2013,PHL,tc40512013,,2013,20131031,20131031,18,0,1134,179985,32300,203734,848322,1052056,114602264,KROSA,2013301N13142
88,tc4053,MEX2013,MEX,tc40532013,,2013,20131104,20131104,11,0,693,109990,256,28,51,79,28917,SONIA,2013305N16252
89,tc4054,CHN2013,CHN,tc40542013,,2013,20131110,20131111,30,0,1890,299975,188374,2366744,4643828,7010572,1054588896,HAIYAN,2013306N07162
8846,tc4107,RUS2014,RUS,tc41072014,,2014,20140711,20140711,6,1,702,384280,10023,0,1533,1533,601436,NEOGURI,2014184N08147
80,tc4042,USA2013,USA,tc40422013,,2013,20131017,20131018,12,0,756,119990,69846,0,0,0,0,WIPHA,2013282N14149
8847,tc4109,CHN2014,CHN,tc41092014,,2014,20140718,20140719,30,1,3510,1921400,589488,4281398,7245846,11527244,1910602368,RAMMASUN,2014190N08154
8848,tc4109,PHL2014,PHL,tc41092014,,2014,20140715,20140716,30,1,3510,1921400,509926,12897100,5900149,18797249,2123684608,RAMMASUN,2014190N08154
15895,tc3305,TWN2005,TWN,tc33052005,,2005,20050831,20050831,1,3,176,658501,15,0,3443,3443,253577456,TALIM,2005237N14148
84,tc4047,JPN2013,JPN,tc40472013,,2013,20131024,20131025,18,0,1134,179985,231638,0,1999,1999,4637506,LEKIMA,2013292N09162
96,tc4054,ZZN2013,ZZN,tc40542013,,2013,20131109,20131109,12,0,756,119990,139354,0,0,0,0,HAIYAN,2013306N07162
16029,tc0268,,,,,1972,19720831,19720901,9,3,1587,7902006,384,0,0,0,0,HYACINTH,1972241N11266
102,tc4059,IND2013,IND,tc40592013,,2013,20131124,20131124,9,0,567,89992,1734,0,6505,6505,546123,LEHAR,2013324N07103
103,tc4060,AUS2014,AUS,tc40602014,,2014,20131123,20131127,27,0,1701,269973,3250,0,7,7,20356,ALESSIA,2013324S11113
104,tc4063,IND2013,IND,tc40632013,,2013,20131212,20131212,3,0,189,29997,101,539,49545,50084,3046813,MADI,2013339N09084
105,tc4064,MUS2014,MUS,tc40642014,,2014,20131221,20131221,6,0,378,59995,56023,0,0,0,0,AMARA,2013348S10082
106,tc4066,AUS2014,AUS,tc40662014,,2014,20131230,20140101,56,0,3528,559945,307902,0,17149,17149,30460560,CHRISTINE,2013360S11123
107,tc4067,REU2014,REU,tc40672014,,2014,20140102,20140102,18,0,1134,179985,104338,538295,17541,555836,625852520,BEJISA,2013362S09053
108,tc4067,ZZR2014,ZZR,tc40672014,,2014,20131231,20131231,6,0,378,59995,31653,0,0,0,0,BEJISA,2013362S09053
109,tc4069,TON2014,TON,tc40692014,,2014,20140110,20140111,30,0,1890,299975,295523,53758,4839,58597,8764283,IAN,2014004S17183
110,tc4073,NCL2014,NCL,tc40732014,,2014,20140117,20140118,12,0,756,119990,4114,0,616,616,894702,JUNE,2014017S14160
111,tc4074,NZL2014,NZL,tc40742014,,2014,20140120,20140121,18,0,1134,179985,7400,64140,17777,81917,89689136,JUNE,2014019S26165
112,tc4075,AUS2014,AUS,tc40752014,,2014,20140130,20140130,6,0,378,59994,9669,4535,22158,26693,58543741,DYLAN,2014024S13160
124,tc4100,MEX2014,MEX,tc41002014,,2014,20140614,20140614,12,0,756,119990,46992,0,0,0,0,CRISTINA,2014160N15259
8897,tc4004,,,tc40042013,,2013,20130731,20130802,54,1,6318,3458520,27284,0,0,0,0,GIL,2013211N11248
113,tc4076,PHL2014,PHL,tc40762014,,2014,20140131,20140201,24,0,1512,239980,1545,37205,133263,170468,13319047,KAJIKI,2014029N10143
119,tc4086,VUT2014,VUT,tc40862014,,2014,20140309,20140311,24,0,1512,239980,8046,0,6368,6368,931285,LUSI,2014068S16169
134,tc4109,PHL2014,PHL,tc41092014,,2014,20140714,20140716,36,0,2268,359970,299291,4067592,14914045,18981637,1688697088,RAMMASUN,2014190N08154
135,tc4109,VNM2014,VNM,tc41092014,,2014,20140718,20140719,24,0,1512,239980,118287,645650,2706867,3352517,57183312,RAMMASUN,2014190N08154
136,tc4109,ZZN2014,ZZN,tc41092014,,2014,20140717,20140717,6,0,378,59995,54063,0,0,0,0,RAMMASUN,2014190N08154
8935,tc4080,,,tc40802014,,2014,20140209,20140210,42,1,4914,2689960,43866,0,0,0,0,FOBANE,2014036S12073
114,tc4077,AUS2014,AUS,tc40772014,,2014,20140131,20140211,117,0,7371,1169893,10600,0,375,375,1016849,FLETCHER,2014030S14129
120,tc4090,MDG2014,MDG,tc40902014,,2014,20140330,20140331,18,0,1134,179985,105555,79,25573,25652,512434,HELLEN,2014086S10041
121,tc4090,ZZI2014,ZZI,tc40902014,,2014,20140330,20140330,6,0,378,59995,63751,0,0,0,0,HELLEN,2014086S10041
122,tc4091,AUS2014,AUS,tc40912014,,2014,20140410,20140413,71,0,4473,709929,373181,160225,53181,213406,359123832,ITA,2014092S11159
123,tc4091,PNG2014,PNG,tc40912014,,2014,20140408,20140409,57,0,3591,569947,282451,2017,189038,191055,10780429,ITA,2014092S11159
125,tc4103,CHN2014,CHN,tc41032014,,2014,20140615,20140616,36,0,2268,359970,2347,835118,310308,1145426,303902584,HAGIBIS,2014164N19116
126,tc4104,MEX2014,MEX,tc41042014,,2014,20140701,20140701,6,0,378,59995,724,0,0,0,0,DOUGLAS,2014180N14255
127,tc4105,CAN2014,CAN,tc41052014,,2014,20140705,20140707,42,0,2646,419965,48143,275068,103120,378188,673560240,ARTHUR,2014180N32282
128,tc4105,USA2014,USA,tc41052014,,2014,20140704,20140704,14,0,882,139987,25872,114103,28981,143084,419338216,ARTHUR,2014180N32282
129,tc4107,JPN2014,JPN,tc41072014,,2014,20140707,20140710,54,0,3402,539946,341597,3386756,731859,4118615,13269313792,NEOGURI,2014184N08147
137,tc4109,ZZO2014,ZZO,tc41092014,,2014,20140716,20140716,6,0,378,59995,39429,0,0,0,0,RAMMASUN,2014190N08154
138,tc4111,CHN2014,CHN,tc41112014,,2014,20140723,20140725,54,0,3402,539955,72570,15195813,16651384,31847197,7508114688,MATMO,2014197N10137
139,tc4111,PHL2014,PHL,tc41112014,,2014,20140722,20140722,6,0,378,59995,26843,0,29,29,2628,MATMO,2014197N10137
140,tc4111,PRK2014,PRK,tc41112014,,2014,20140725,20140725,6,0,378,59995,3120,35569,1111426,1146995,55843197,MATMO,2014197N10137
141,tc4111,TWN2014,TWN,tc41112014,,2014,20140722,20140722,18,0,1134,179985,66050,6508741,610396,7119137,12211962176,MATMO,2014197N10137
142,tc4113,IND2014,IND,tc41132014,,2014,20140721,20140723,51,0,3213,509955,18169,392828,3638480,4031308,173990910,NOT NAMED,2014202N22086
156,tc4133,LAO2014,LAO,tc41332014,,2014,20140917,20140917,12,0,756,119990,6037,0,1538,1538,63872,KALMAEGI,2014254N10142
157,tc4133,PHL2014,PHL,tc41332014,,2014,20140914,20140914,12,0,756,119990,37748,595189,2611821,3207010,501247376,KALMAEGI,2014254N10142
130,tc4107,RUS2014,RUS,tc41072014,,2014,20140711,20140711,6,0,378,59995,14421,0,2799,2799,756746,NEOGURI,2014184N08147
131,tc4107,ZZP2014,ZZP,tc41072014,,2014,20140708,20140708,3,0,189,29997,30189,0,0,0,0,NEOGURI,2014184N08147
132,tc4109,CHN2014,CHN,tc41092014,,2014,20140718,20140719,48,0,3024,479960,310679,13781490,26786984,40568474,6954001664,RAMMASUN,2014190N08154
133,tc4109,MAC2014,MAC,tc41092014,,2014,20140718,20140718,6,0,378,59995,66069,336901,893,337794,1216475557,RAMMASUN,2014190N08154
143,tc4116,JPN2014,JPN,tc41162014,,2014,20140731,20140731,12,0,756,119990,8694,6714,4196,10910,19916036,NAKRI,2014209N16134
144,tc4116,KOR2014,KOR,tc41162014,,2014,20140802,20140803,24,0,1512,239980,8800,0,135,135,113200,NAKRI,2014209N16134
145,tc4117,JPN2014,JPN,tc41172014,,2014,20140806,20140810,78,0,4914,779923,675716,28409460,2815865,31225325,119571283968,HALONG,2014209N12152
150,tc4125,MEX2014,MEX,tc41252014,,2014,20140824,20140825,30,0,1890,299975,339057,0,0,0,0,MARIE,2014234N12261
146,tc4117,RUS2014,RUS,tc41172014,,2014,20140811,20140813,36,0,2268,359970,91926,154943,37853,192796,90985968,HALONG,2014209N12152
147,tc4118,DOM2014,DOM,tc41182014,,2014,20140802,20140802,6,0,378,59995,135,0,0,0,0,BERTHA,2014210N10323
148,tc4118,MTQ2014,MTQ,tc41182014,,2014,20140801,20140801,6,0,378,59995,270,7932,189,8121,11915397,BERTHA,2014210N10323
149,tc4121,IND2014,IND,tc41212014,,2014,20140803,20140806,84,0,5292,839926,27377,2597524,5809513,8407037,441796912,NOT NAMED,2014216N22089
151,tc4126,ISL2014,ISL,tc41262014,,2014,20140831,20140901,24,0,1512,239980,62726,206905,37073,243978,882852136,CRISTOBAL,2014236N22288
152,tc4127,MEX2014,MEX,tc41272014,,2014,20140903,20140903,3,0,189,29997,77,0,1119,1119,326000,DOLLY,2014245N19268
153,tc4128,MEX2014,MEX,tc41282014,,2014,20140905,20140906,24,0,1512,239980,102397,0,5694,5694,4922264,NORBERT,2014246N17254
154,tc4131,MEX2014,MEX,tc41312014,,2014,20140914,20140917,78,0,4914,779934,630695,3474313,1351781,4826094,2173053440,ODILE,2014253N14260
155,tc4133,CHN2014,CHN,tc41332014,,2014,20140916,20140917,42,0,2646,419965,117649,6865583,13836479,20702062,3345882496,KALMAEGI,2014254N10142
158,tc4133,VNM2014,VNM,tc41332014,,2014,20140916,20140917,30,0,1890,299975,82373,2035457,5987372,8022829,198334144,KALMAEGI,2014254N10142
159,tc4136,CHN2014,CHN,tc41362014,,2014,20140922,20140923,30,0,1890,299975,4657,125830,143973,269803,101456948,FUNG-WONG,2014260N13135
160,tc4136,JPN2014,JPN,tc41362014,,2014,20140924,20140924,6,0,378,59995,1169,9277,24288,33565,123237728,FUNG-WONG,2014260N13135
161,tc4136,KOR2014,KOR,tc41362014,,2014,20140924,20140924,12,0,756,119990,2009,0,257,257,128350,FUNG-WONG,2014260N13135
166,tc4140,MEX2014,MEX,tc41402014,,2014,20141003,20141004,12,0,756,119990,8220,0,0,0,0,SIMON,2014274N15260
167,tc4141,JPN2014,JPN,tc41412014,,2014,20141010,20141013,63,0,3969,629938,452733,36989832,1833376,38823208,158726630912,VONGFONG,2014275N06166
162,tc4136,PHL2014,PHL,tc41362014,,2014,20140919,20140919,12,0,756,119990,5824,0,267923,267923,34527296,FUNG-WONG,2014260N13135
163,tc4136,TWN2014,TWN,tc41362014,,2014,20140921,20140921,18,0,1134,179985,8877,78073,14731,92804,92206809,FUNG-WONG,2014260N13135
164,tc4139,JPN2014,JPN,tc41392014,,2014,20141004,20141006,45,0,2835,449955,383263,43326408,1886279,45212687,182912271360,PHANFONE,2014271N10160
165,tc4139,MNP2014,MNP,tc41392014,,2014,20140930,20140930,6,0,378,59995,4617,0,0,0,0,PHANFONE,2014271N10160
168,tc4141,MNP2014,MNP,tc41412014,,2014,20141005,20141005,6,0,378,59995,12238,0,7040,7040,26171260,VONGFONG,2014275N06166
169,tc4141,USA2014,USA,tc41412014,,2014,20141016,20141016,6,0,378,59995,26118,0,0,0,0,VONGFONG,2014275N06166
170,tc4142,IND2014,IND,tc41422014,,2014,20141008,20141014,60,0,3780,599944,130949,3398230,13213026,16611256,896581584,HUD HUD:HUDHUD,2014279N11096
171,tc4143,BMU2014,BMU,tc41432014,,2014,20141012,20141012,8,0,504,79993,4572,31695,1033,32728,304768626,FAY,2014283N22299
172,tc4145,AIA2014,AIA,tc41452014,,2014,20141013,20141014,6,0,378,59994,3767,1395,0,1395,1377416,GONZALO,2014285N16305
173,tc4145,ANT2014,ANT,tc41452014,,2014,20141013,20141013,8,0,504,79992,4482,38636,327,38963,59516875,GONZALO,2014285N16305
8971,tc4137,,,tc41372014,,2014,20140928,20141001,66,1,7722,4227080,26543,0,0,0,0,KAMMURI,2014267N18150
174,tc4145,ATG2014,ATG,tc41452014,,2014,20141013,20141013,8,0,504,79993,3429,77655,122,77777,80110248,GONZALO,2014285N16305
175,tc4145,BMU2014,BMU,tc41452014,,2014,20141018,20141018,12,0,756,119990,90294,0,0,0,0,GONZALO,2014285N16305
176,tc4145,GLP2014,GLP,tc41452014,,2014,20141013,20141013,8,0,504,79992,4482,27887,9,27896,26808527,GONZALO,2014285N16305
177,tc4146,MEX2014,MEX,tc41462014,,2014,20141018,20141018,6,0,378,59994,759,0,15640,15640,4391507,TRUDY,2014290N14261
